Compensation,Address,Title,Employment Type,URL,Description
,Métro Villa-Maria/Snowdon,"Spacious 2½ electricity,heating,hot water,fridge,stove included",,https://montreal.craigslist.ca/apa/d/spacious-2/6305599114.html,"**Français à suivre**
Available December 
EXCELLENT TRANSPORTATION towards: CONCORDIA Univ (Villa Maria metro, bus 66); MCGILL Univ (Villa Maria metro, bus 24); UNIVERSITE of MTL (bus 51,at the corner & Snowdon metro); LOYOLA CAMPUS (Villa Maria metro, bus 162). 
DESCRIPTION: 
• Hard wood floor
• Included: electricity, heating, hot water, fridge, stove
• Very sunny and bright, well maintained
• Concrete structure, quiet and safe residence

FACILITIES: 
• Elevator 
• Laundry room on site
• Parking inside (garage) and outside (without vignette)
• Camera surveillance 24/7 and Intercom
• on site janitor

-NEARBY: 
• 3 minutes by walk to Metro Villa-Maria 
• 3 minutes by walk to commercial center chemin Queen-Mary 
• Banks, shops, stores, supermarkets, pharmacies and hospitals
• Schools: University of Montreal, HEC & Polytechnique, International Primary School of Montreal, Collège Brébeuf 
• Bus: lines 17, 66, 371
• Highway access: 15, 138, 40

For more information and visit: 
 
, 
 

ADDRESS: 4560 Boulevard Decarie, Montreal, (Quebec) H3X 2H6
Thanks for visiting!

**Français** 
Disponible decembre

EXCELLENT LOCATON: Univ CONCORDIA (Villa Maria metro, bus 66), McGILL (metro Villa Maria, bus 24), Universite de Mtl (metro Snowdon & bus 51, au coin de Queen Mary), UQAM.

DESCRIPTION:
• Planchers de bois franc
• Inclus: électricité, chauffage, eau chaude, réfrigérateur, cuisinière 
• Très ensoleillé, lumineux et bien entretenu
• Structure en béton, résidence tranquille et sécuritaire

COMMODITÉS:
• Ascenseur
• Buanderie sur place 
• Stationnement intérieur (garage) et extérieur (sans vignette)
• Surveillance par camera 24/7 et Intercom
• Conciergerie sur place 

À PROXIMITÉ :
• À 3 minutes de marche du Métro Villa-Maria
• À 3 minutes de marche du centre commercial chemin Queen-Mary
• Banques, boutiques, magasins, supermarchés, pharmacies et hôpitaux
• Écoles : Université de Montréal, HEC & Polytechnique, Ecole Primaire International De Montréal, Collège Brébeuf 
• Autobus : lignes 17, 66, 371
• Accès aux autoroutes : 15, 138, 40
Pour infos et visite : 
 
, 
 

ADDRESSE: 4560 Boulevard Décarie, Montréal, (Québec) H3X 2H6
Merci et bonne visite !"
1BR,3505 st famille,All Inclusive 3.5 near Place Des arts from November 1st,,https://montreal.craigslist.ca/apa/d/all-inclusive-35-near-place/6342659458.html,"Minimum 9 month lease
Electros, Electricity, Hot Water & Heating included
Includes Stove and Fridge

Really big lounge
Extremely Spacious living room
4 really big Storage closets
Closed bedroom and kitchen

less than 500 metres from Place Des Arts metro station. less than 300 metres from Avenue Du Parc Metro, 24x7 Jean Coutu, Provigo, Uniprix, Dollarama, Bus Stops etc

Calm and quiet residential area

Only Cats Allowed

parking Available

Separate laundry inside building

Neat and clean apartment In building

Friendly janitors who offers to help with any issues in the apartment. Secured and large lobby to relax

Available November 1st"
2BR,,4 1/2 Sherbrooke West for Lease Transfer,,https://montreal.craigslist.ca/apa/d/4-1-2-sherbrooke-west-for/6342655328.html,"4 1/2 Apartment w/ Fridge & Stove
Heated, Hot & Cold Included.
Lots of storage. Master bedroom is w/ Patio.
Bus Stops 105 and 104 across the building to Vendome Station
Unfurnished. 

Quite low-rise building. Unit is at 2nd floor."
2BR,WESTMOUNT ADJ,King-sized 2 BED/5.5 LOFT -BALCONY & W/D OUTLETS - OCT FREE!,1450,https://montreal.craigslist.ca/apa/d/king-sized-2-bed-55-loft/6342675554.html,"LOFTSTYLE 1450ft2 apt -- 2 King-sized Bedrms, 9 ft Ceilings with recessed lighting. Bright HARDWOOD Floors. RENOVATED bathroom and Kitchen with STAINLESS Fridge, Gas Stove and D/W. Separate LR & Dining area! Washer/dryer Outelets!

BBQ BALCONY with great views!

***HEAT & HOT WATER INCL!!

Pet friendly building - safe walking area for dogs behind the building.

For your convenience there is also a laundry room with 6 washer/ dryers in the building & a FREE storage locker.

Rooftop workout gym and roof sun deck, giving a 360 degree view of the city.

Indoor parking available at $100/ month, and reserved outdoor parking available at $50/month.

The building is conveniently located close to the highway, and a 7-10 minute walk brings you to Villa Maria metro (orange line) and Monkland Village with grocery stores, banks, cafes and all services. 

The 66 bus across the street brings you straight downtown to Guy-Concordia metro (green line) within 15 minutes. 

Ref: #401 - Avail OCT! 
OCT FREE!

For more information or to set up a viewing please email me, OR call/text Mark at 
 
. Thank you!

www.bonavistatowers.com"
3BR,Montreal 4 km from Downtown new building,"7I7AIDE All included doesn't exist!!! (""Huge"" Condo)",1200,https://montreal.craigslist.ca/apa/d/7i7aide-all-included-doesnt/6338051411.html,"7I7AIDE 104EN

- Beautiful and modern 4-plex -- only 3 neighbours 
- Well insulated thermally and acoustically 
- 1160 sf. 
- Recent building (2008) , condos renovated in 2015-2016 
- Huge terazza 100sf (~ 9x12ft ), BBQ possible 
- Residential area minutes from Downtown 
- Big beds in massive wood 
- French Provincial / Victorian/Modern solid wood bedrooms, exquisite furniture 
- 2 complete bathrooms 
- Jacuzzi style tub AND shower in main bathroom and large shower in the otherone 
- 3bdr , queen beds and huge livingroom (can take a 4th student/roommate) 
- 3 km from Loyola Concordia and 4 from the Guy Concordia, - - Concordia suttle passing by. 
- 8min walking to Vandome metro station (or 3 min by bus) 
- 8 min from the Glen Megahospital 
- Park at 100m, 3 utility store in 100m, 3 supermarkets in 400m, 1 km and 1.2 km 
- Ceramic stainless steel stove. 
- Stainless steel fridge and dishwasher 
- Frontal washer dryer in your condo (not in the basement) 

-------------------------------------------- 
Of course you like it 
Does your second choice have all those features? 
My next question is why would you expect to get it at the same price as the one you DON'T like ? 
And second question: would you supplement a bit your initial budget to get something that you like? (could be just 3$ a day)... 
--------------------------------------------- 
Conditions apply 
The main price is nothing included. 
We are open to rent to families, sudents or roomates.
In case of students: Student rental (and not only!) implies different needs that we are all aware: completely furnished or services/utilities included or flexible lease or...all of the above. We are ready and capable to comply with those needs. . . but again, my question is. . . why would you expect all this to be ""included"" (which in your sub-conscious means ""for free"")?! 
If you need any added value (furnishing, flexible/shorter lease and some or all services included), it will be done for a price corresponding to the extra effort in administration and costs (and nobody will do it for free- just might make you believe that). 

I am in the market for several years, pls allow me to explain you the myth of ""all included"": If there are 2 condos of equal price and one owner ""offers"" the services /utilities included while the other one (greedier- you might think) charge them as extra, the reality is that the first condo/apartment has a lower REGULAR RENTING VALUE -RRV . That would be the condo's renting value empty (unfurnished) and long (aka regular) term -- 1 year (renewable). 
The RRV depends on the quality of the building (thermal and acoustic isolation, etc), age (that might be in connection with the just enumerated factors), location (ex how far from Downtown and what amenities are available around). 
Services/utilities could be presented as ""included"" but they are not at all free, simply because they are not a un-noticeable value as most people (students especially) think, but 200-700$/month depending on the condo and on the season. A low ""all included"" rent means that the RRV is even lower , do not think that the owner didn't add some extra cost for furnishing, flexible term and utilities, simply he presented the total as THE MAGIC ""all included""!!! And this total is lower because the value of the condo (RRV) is lower. 
Again, what you looking for doesn't exist, services/utilities are 200-700$ a month, nobody would give up this sum to just see a rewarding smile on some students faces. 
So, my condos ARE NOT an average student rental, this ad is addressing to students that would pay a bit more for an exquisite location (4km from Downtown -- Montreal is 50km wide), for above average appliances and , if furnished, for quite exquisite, non-student-type furniture. 
As the quality is over average, I'd hope also for the attention of postgraduates and teachers. 
Thank you for your interest. 
*** Actually this price (1499) is not really for the empty condo, it still includes [over the average quality] appliances as you can see above. ""Empty "" condos/apartments from CMHC statistics might be with or without appliances but when those appliances are present, in 90% of cases they are only two (2): a white (and maybe old) modest fridge and a white (and maybe old) modest stove. 
My case, again, 5 stainels steel and/or frontal appliances. 

This condo has 3 rooms for 3 students/roommates but can host a group of up to 5-6 or a big family Pls call for more info and visits -  i don't read my emails so often. 
51four 66zero 312two (if no answer, asnwer the ad, thanks)."
2BR,,LUX Appartement Old Montreal FURNISHED,1600,https://montreal.craigslist.ca/apa/d/lux-appartement-old-montreal/6341936079.html,"Text/Call 
 
   Charming condo in the heart of Old Montreal featuring high ceilings, hardwood floors, superior sound-proofing and beautiful furnitures. 2 bedrooms + 2 bathrooms for 1680 sqft. 
Other inclusions: stove, fridge, oven, washer, dryer, dishwasher, all furnitures...

Location is fantastic with a beautiful view on the Old Port, the building is few steps away from Downtown, restaurants, bars and major attractions. Public transports are within walking distance.

You will also enjoy all the amenities of the building including the fully equipped gym, the outdoor and indoor pool as well as the sauna and spa... 

Visits available any time! Text/Call"
1BR,Ahuntsic,"Impeccable 3 1/2 Disponible maintenant 10772 des Prairies, Montreal",,https://montreal.craigslist.ca/apa/d/impeccabledisponible/6333467076.html,(english version)
1BR,NDG,*** BRIGHT & SPACIOUS - RENOV 3.5 LOFT - BALCONY - 1 Mth FREE! ***,,https://montreal.craigslist.ca/apa/d/bright-spacious-renov-35-loft/6342676007.html,"HUGE RENOVATED 3.5 available SEPTEMBER!
1 Month FREE! (Conditions apply)

Condo-style with bright hardwood floors, high ceilings & recessed lighting. 
Stainless appliances incl. (Fridge and stove). 
Hot Water Included!

HIGH SECURITY - Renovated lobby has security cameras and a brand new Mircom entry system offering a luxurious safe and secure environment.

Building has an elevator and new Laundry Room.

Indoor parking available at extra cost 

Minutes away from green space the Cote-St-Luc shopping centre and with the 51 bus right in front of the building will provide you with comfort in a great location.

For viewings please email me, call Yvonne at 
 
 OR Mark at 
 
. Thank you!

*Sorry no dogs - but cats are allowed."
1BR,3445 hutchison,***BRAND NEW 3.5 IN HEART OF MCGILL GHETTO***,,https://montreal.craigslist.ca/apa/d/brand-new-35-in-heart-of/6313180351.html,"BRAND NEW 3 1/2 available October 1, 2017.

***BRAND NEW HARD WOOD FLOORS + ENTIRE BATHROOM AND KITCHEN RENOVATED****

**Heating, hot water, electricity included**

Large balcony with beautiful view of the city

New thermal windows and renovated kitchen with SS fridge and stove included

Full time concierge - state of the art laundry room - indoor parking available - 24 hour security -

In the heart of the McGill ghetto - 2 minute walk from Milton Gates and McLennan Library - very safe and secure building -

***Perfect for student or young professional***

***PARKING AVAILABLE WITH APARTMENT AT ADDITIONAL COST***

Excellent location in the heart of downtown/McGill Ghetto: 3 min. walk to McGill Campus/18 min. walk to Concordia University
5 min. walk to 4 grocery stores including Metro, Provigo.
5 min. walk to McGill Metro Station, Econofitness/Dollarama/ food court Promenades de la Cathedrale, tons of stores, restaurants, banks, cafes within easy walking distance on Sainte-Catherine Street.
8 min. walk to McGill Gym. 8 min. walk to Eaton Centre with many stores and food court options
Bixi station around the corner

Walkscore.com:
Walk: 99
Transit: 93
Bike: 99"
1BR,3635 Ridgewood,Beautifull one bedroom with big deck close to downtown - Free Month,,https://montreal.craigslist.ca/apa/d/beautifull-one-bedroom-with/6328657073.html,"This beautiful unit has a renovated kitchen with new flooring.
Big deck to entertain and make bbqs
big bedroom and big windows
heating and hot water are included
indoor parking is available with added fee
the apt is bright
you are a minute away from a convenient store and gas station
the bus is at the corner of the street which can bring you within ten minutes to metro or downtown
Montreal university, HEC, Concordia university, 3 different hospitals are all within 10 minutes of this location

Please call Sacha at"
0BR,7017 sherbrooke,large semi basement studio (ALL INCLUDED ),400,https://montreal.craigslist.ca/apa/d/large-semi-basement-studio/6329610064.html,"This Great Unit is a very large semi basement studio with a large open space and a slight separation with kitchen 

HEATING AND HOT WATER ARE INCLUDED

You will be steps away from the Concordia University LOYOLA CAMPUS

the building is located close to the train station and on a very busy bus line so you will never wait long.

Retail stores , supermarkets, bars, parks, the city Gym and Library are all blocks away

The campus provides Shuttle to downtown hourly or more

Please Call Sacha at"
4BR,200 Cuvillier Est,Townhouse avec picine au coeur de Longeuil,1600,https://montreal.craigslist.ca/apa/d/townhouse-avec-picine-au/6313772590.html,"Cette belle maison se situe au coeur de Longeuil a 5 minute de conduite du pont Jacques Cartier, a 2 minute de marche du Parc Fonrouge, de la GARE LONGEUIL - SAINT HUBERT, a un coin de rue des BUS 8 - 28 - 88, de l'ecole George-Etienne-Cartier, des commerces, supermarchers, restaurants et plus.

Cette belle propriete a 4 chambres a coucher fermer, une salle de bain pleine et 2 salle d'eau (une au rez-de-chausse et une au sous sol)
la cuisine a ete refaite ya quelques annees avec des nouvelles armoires , comptoir, et lumieres. Concept ouvert avec salon et cuisine. La cuisine donne acces au jardin qui a ete bien amenager avec grand patio, picine et pelouse. Jardin entierement fermer. 

Sous-sol grand et ouvert, salle de lavage avec connection laveuse et secheuse, deuxieme salle fermer grande avec lavabos aussi deux armoires d'entreposage et salle de toilette

Driveway pour 2 voitures

FRIGO ET FOUR FOURNIS

Les details pourrait etre discuter avec personne serieusement interesser 

Appeler Sacha au 
 


This beautiful House is located in the heart of Longeuil 5 minute of driving of the Jacques Cartier Bridge, a 2 minute walk from the Park Fonrouge, of the LONGEUIL station - SAINT HUBERT bridge,  BUS 8 - 28 - 88 at the corner,  school George-Étienne-Cartier, shops, supermarkets, restaurants and more.

This lovely property has 4 closed bedrooms, a full bathroom and 2 half bathroom (one in the ground floor and one the slot floor) the kitchen has been redone is a few years with new cabinets, counter, and lights. Open concept with living room and kitchen. The kitchen gives access to the garden that has been good extension with large patio, pool and lawn. Garden completely close.

Large and open basement, laundry room with washer and dryer, second room connection close, two storage cupboards and bathroom.

 Driveway for 2 cars 

FRIDGE AND OVEN PROVIDED

the details could be discuss with anyone seriously interested 

call Sasha at the"
2BR,7017 sherbrooke,fully renovated 2 bedroom steps from Concordia Layola campus,800,https://montreal.craigslist.ca/apa/d/fully-renovated-2-bedroom/6329581761.html,"This Great Unit comes with a living space, eat in kitchen , balcony , big pantry, 2 bedrooms 

HEATING AND HOT WATER ARE INCLUDED

You will be steps away from the Concordia University LOYOLA CAMPUS

the building is located close to the train station and on a very busy bus line so you will never wait long.

Retail stores , supermarkets, bars, parks, the city Gym and Library are all blocks away

The campus provides Shuttle to downtown hourly or more

Please Call Sacha at"
1BR,3635 Ridgewood,Beautiful one bedroom located on Ridgewood close to downtown,700,https://montreal.craigslist.ca/apa/d/beautiful-one-bedroom-located/6328651756.html,"This beautiful unit has a renovated kitchen with new flooring.
BATHROOM was fully renovated 
big bedroom and big windows 
heating and hot water are included 
indoor parking is available with added fee
the apt is bright 
you are a minute away from a convenient store and gas station
the bus is at the corner of the street which can bring you within ten minutes to metro or downtown
Montreal university, HEC, Concordia university, 3 different hospitals are all within 10 minutes of this location 

Please call sacha at"
0BR,7017 sherbrooke,Studio located steps from Caoncordia Layola Campus (ALL INLCUDED ),300,https://montreal.craigslist.ca/apa/d/studio-located-steps-from/6329589727.html,"This Great Unit comes ALL INLCUDED 

HEATING AND HOT WATER ARE INCLUDED

You will be steps away from the Concordia University LOYOLA CAMPUS

the building is located close to the train station and on a very busy bus line so you will never wait long.

Retail stores , supermarkets, bars, parks, the city Gym and Library are all blocks away

The campus provides Shuttle to downtown hourly or more

Please Call Sacha at"
1BR,3037 Chambly,Fully Furnished renovated one bedroom in heart of longeuil,750,https://montreal.craigslist.ca/apa/d/fully-furnished-renovated-one/6333350832.html,"This great apartment is in a very quiet, clean and well maintained building. 

The unit comes completely furnished with high end furniture and stainless steel appliances. It comes full with everything from towels,sheets, LED tv to kitchen ware. 
New flooring in the bedroom

Its located steps from the bus lines 8,17,28,88 that will bring you anywhere you need to go. 

The building is located close to all the amenities needed such as restaurants, banks, walmart, parks, schools and much more 

assigned parking available 


Please Call Sacha at"
2BR,205 Saint-jacques,2 floor one bedroom located in the heart of Lachine,700,https://montreal.craigslist.ca/apa/d/2-floor-one-bedroom-located/6313750230.html,"this very nice apt is located in the heart of lachine abd 5 mon walk to train station. its surrounded by retail businesses, restaurants, bars and public transportation.

the unit is in a well maintained building with locked entrance door and cameras.THE UNIT WILL BE COMPLETELY REPAINTED AND EVERYTHING WILL BE TAKEN OUT . the unit offers a very distinct layout with the living room, kitchen, powder room and balcony on one floor and bedroom with a Full in suite bathroom with stand up shower, bathtub sink and toilet . 



Parking is easy

Please call Sacha at"
